Speaker Label,Gender,Word,VowelPhoneme,Class,Formant1,Formant2,Formant3,Time Marker
alw001,F,HEAT,IY,1,434.936633,2675.424694,3109.763299,0.990475
alw001,F,HEAD,EH,1,764.29009,2352.944311,3135.745249,2.954339
alw001,F,HOOD,UH,1,669.311088,1480.634263,2795.212672,6.375211
ajh001,M,HEAT,IY,1,334.539276,2399.227201,2953.039129,1.403992
ajh001,M,HEAD,EH,1,534.938773,2091.716984,2662.21415,2.991606
ajh001,M,HOOD,UH,1,438.234324,1052.586213,2749.806044,5.745682
cxb001,F,HEAT,IY,1,422.896905,2697.183672,3259.29792,0.7627634
cxb001,F,HEAD,EH,1,778.870975,2322.493946,3275.983166,2.640162
cxb001,F,HOOD,UH,1,530.672577,1058.07778,2926.186674,4.878104
apd001,M,HEAT,IY,1,333.547189,2085.98593,2871.75641,0.915037
apd001,M,HEAD,EH,1,539.633604,1969.742956,2588.010501,2.280147
apd001,M,HOOD,UH,1,552.328242,841.4802129,2805.746104,4.511027
jah001,F,HEAT,IY,1,472.70942,2734.3709,3382.048887,1.310187
jah001,F,HEAD,EH,1,786.530692,2351.982726,3276.190884,3.122225
jah001,F,HOOD,UH,1,601.091225,1470.244276,2955.530679,6.218156
ars001,M,HEAT,IY,1,2092.147152,2676.374482,4001.840089,2.819622
ars001,M,HEAD,EH,1,585.39609,1758.794598,2519.757855,4.436388
ars001,M,HOOD,UH,1,492.649492,932.503368,2346.889671,7.504246
jep001,F,HEAT,IY,1,572.018439,2653.587164,2791.319083,1.229231
jep001,F,HEAD,EH,1,906.161162,2070.916426,2397.732552,3.107813
jep001,F,HOOD,UH,1,776.933273,1544.069737,2961.75091,6.009816
axm001,M,HEAT,IY,1,257.727196,2229.973499,2956.502586,1.737955
axm001,M,HEAD,EH,1,753.212009,1829.33318,2723.212667,3.329935
axm001,M,HOOD,UH,1,603.123522,1421.953419,2711.823351,7.513194
knb001,F,HEAT,IY,1,482.470798,2706.145541,3338.449061,0.797278
knb001,F,HEAD,EH,1,735.781299,2389.70459,3208.818739,2.572679
knb001,F,HOOD,UH,1,595.154352,1148.394389,2863.16873,5.552892
ikp001,M,HEAT,IY,1,301.0651,2289.705105,2978.431146,1.379764
ikp001,M,HEAD,EH,1,621.595653,2113.907797,2702.992222,3.558497
ikp001,M,HOOD,UH,1,538.633218,1247.985372,2436.836101,7.001857
cxc001,F,HEAT,IY,1,414.575784,2652.36851,3176.779694,0.871507
cxc001,F,HEAD,EH,1,851.120503,2152.290832,2695.416042,2.154536
cxc001,F,HOOD,UH,1,431.407511,1579.707767,2624.128098,8.297517
acr001,M,HEAT,IY,1,331.690436,2135.629277,2840.54246,2.953348
acr001,M,HEAD,EH,1,655.047784,1812.761419,2462.315966,3.649561
acr001,M,HOOD,UH,1,1435.034532,2375.608309,2862.897186,7.636908
dmc001,F,HEAT,IY,1,459.308671,2662.838404,3110.120616,0.357466
dmc001,F,HEAD,EH,1,809.304488,2111.72743,3193.683474,1.408247
dmc001,F,HOOD,UH,1,651.469266,1009.840622,3246.936421,4.352385
bxp001,M,HEAT,IY,1,280.276693,2472.414295,2957.190811,0.824053
bxp001,M,HEAD,EH,1,654.495822,1991.198322,2515.80817,2.596068
bxp001,M,HOOD,UH,1,664.112687,1303.549524,2700.746899,6.27813
ejr001,F,HEAT,IY,1,379.456351,2739.603607,3120.795562,0.668473
ejr001,F,HEAD,EH,1,697.595644,2341.305446,2998.023812,1.751064
ejr001,F,HOOD,UH,1,466.07194,1394.420487,2522.201606,7.997508
cgm001,M,HEAT,IY,1,267.524779,2560.99748,2887.289553,1.496261
cgm001,M,HEAD,EH,1,688.004171,2008.85248,2785.808668,13.197504
cgm001,M,HOOD,UH,1,427.412202,1364.567567,2621.185838,22.940196
exc001,F,HEAT,IY,1,367.307793,2712.689871,3164.77058,0.756156
exc001,F,HEAD,EH,1,908.140799,2190.850403,2928.073684,2.350658
exc001,F,HOOD,UH,1,637.866227,1416.081257,2798.703767,8.453831
cxg001,M,HEAT,IY,1,375.504495,1950.209537,2684.521747,0.575871
cxg001,M,HEAD,EH,1,756.320525,1790.993808,2491.252943,1.773062
cxg001,M,HOOD,UH,1,891.203588,1996.948549,2642.736167,7.226063
jmc003,F,HEAT,IY,1,403.703893,2619.869958,2844.983738,2.3582
jmc003,F,HEAD,EH,1,815.612952,2012.557395,2886.530729,3.119358
jmc003,F,HOOD,UH,1,527.069413,1654.307195,2978.659378,6.583787
ejd001,M,HEAT,IY,1,245.854735,2189.23302,3044.487062,0.904861
ejd001,M,HEAD,EH,1,455.81746,2032.753251,2629.843436,2.588078
ejd001,M,HOOD,UH,1,232.267069,1306.548307,2298.298672,11.173816
ald001,F,HEAT,IY,1,395.689871,2434.525854,2883.46638,1.611035
ald001,F,HEAD,EH,1,755.459176,2168.913938,3003.627344,3.627534
ald001,F,HOOD,UH,1,564.281685,1902.506361,2845.110876,10.80421
asp001,M,HEAT,IY,1,193.846641,2135.267288,2722.554885,1.007761
asp001,M,HEAD,EH,1,497.368186,2112.116914,2487.18689,3.358143
asp001,M,HOOD,UH,1,444.288943,1079.019167,2830.812347,10.681681
cxb002,F,HEAT,IY,1,452.312177,2612.803836,3211.946217,0.702189
cxb002,F,HEAD,EH,1,800.48246,2305.466601,2998.76866,2.623411
cxb002,F,HOOD,UH,1,542.836056,1660.867555,2754.04371,11.276117
baj001,M,HEAT,IY,1,480.201631,2198.418789,2926.875492,1.859235
baj001,M,HEAD,EH,1,675.851602,1954.778426,2688.23444,3.953677
baj001,M,HOOD,UH,1,467.613315,1465.750609,2741.55373,11.973511
dab001,F,HEAT,IY,1,276.969275,2461.293464,2989.819722,2.162205
dab001,F,HEAD,EH,1,623.510363,2192.807714,2759.932661,4.402111
dab001,F,HOOD,UH,1,542.608274,1674.629323,2604.519916,12.767874
htl001,M,HEAT,IY,1,264.112072,2231.368899,3018.241703,0.634178
htl001,M,HEAD,EH,1,604.106267,1932.210146,2560.975619,2.598771
htl001,M,HOOD,UH,1,1938.753345,2458.149779,3472.659853,10.854393
hjl001,F,HEAT,IY,1,414.033291,3227.469764,3795.82454,1.17169
hjl001,F,HEAD,EH,1,794.808343,2563.806568,3107.244414,3.545022
hjl001,F,HOOD,UH,1,594.404358,2116.059888,3145.435035,11.449442
ifp001,M,HEAT,IY,1,335.783841,2108.24365,2759.510881,1.605316
ifp001,M,HEAD,EH,1,516.965879,1815.378883,2521.137696,5.316979
ifp001,M,HOOD,UH,1,1052.470958,2346.326149,3470.688089,19.120686
jkb001,F,HEAT,IY,1,334.881686,2551.535505,3089.451433,2.397041
jkb001,F,HEAD,EH,1,639.288189,2068.333185,2829.719831,4.576039
jkb001,F,HOOD,UH,1,480.226038,1168.503385,2895.894247,12.959559
kxk001,M,HEAT,IY,1,282.445,2170.195531,2838.607505,0.994263
kxk001,M,HEAD,EH,1,615.388053,1835.147674,2642.079506,3.106689
kxk001,M,HOOD,UH,1,1072.265386,2278.048678,3069.444375,10.6111
cet001,F,HEAT,IY,1,406.386834,2745.26668,3435.864085,2.147371
cet001,F,HEAD,EH,1,839.080853,2036.675103,3110.533383,3.353584
cet001,F,HOOD,UH,1,515.270292,1218.431168,2884.64366,16.838461
ajt001,M,HEAT,IY,1,341.162139,2163.517309,3215.531872,2.995315
ajt001,M,HEAD,EH,1,649.937977,1623.595635,2609.256198,4.931979
ajt001,M,HOOD,UH,1,400.807554,1038.856695,2586.19261,14.398313
edc001,F,HEAT,IY,1,432.512587,2659.168126,3229.791172,1.180995
edc001,F,HEAD,EH,1,806.538219,2202.461648,3008.995501,2.850458
edc001,F,HOOD,UH,1,587.296764,1189.040959,2640.647356,6.183858
axc001,M,HEAT,IY,1,106.369233,2251.261916,2867.270228,0.987044
axc001,M,HEAD,EH,1,655.571086,1819.80508,2728.512262,1.970758
axc001,M,HOOD,UH,1,442.59916,948.236522,2546.554507,6.431171
hxc001,F,HEAT,IY,1,391.21719,3045.615026,3566.975698,1.293971
hxc001,F,HEAD,EH,1,910.121181,2105.815705,2215.25177,3.049165
hxc001,F,HOOD,UH,1,668.856021,1628.202711,3059.341528,6.790158
ccw001,M,HEAT,IY,1,259.088742,2456.955422,3237.774106,1.558769
ccw001,M,HEAD,EH,1,582.973362,2155.599499,2939.17202,2.843081
ccw001,M,HOOD,UH,1,508.163229,1216.00471,2526.515492,8.016614
jat001,F,HEAT,IY,1,405.271455,2628.093189,3138.08639,1.175259
jat001,F,HEAD,EH,1,780.517174,2293.688468,3117.288258,2.717512
jat001,F,HOOD,UH,1,580.289885,1130.057028,3005.446364,5.132642
dps001,M,HEAT,IY,1,241.795901,2043.987438,2663.797804,0.953845
dps001,M,HEAD,EH,1,653.307063,1796.683017,2437.55921,2.918316
dps001,M,HOOD,UH,1,796.603277,2036.858088,3201.660864,6.165573
jfj001,F,HEAT,IY,1,409.308791,2808.056689,3503.572604,1.065501
jfj001,F,HEAD,EH,1,834.253867,2240.468789,3251.418368,3.49229
jfj001,F,HOOD,UH,1,569.285787,1390.092382,2783.184692,8.211946
dwc001,M,HEAT,IY,1,301.386829,2311.261252,2709.910723,1.291848
dwc001,M,HEAD,EH,1,610.662433,1880.485711,2523.33813,2.482019
dwc001,M,HOOD,UH,1,401.799036,936.790833,2574.575163,4.850741
aud001,F,HEAT,IY,1,333.308353,2855.174187,3423.673088,2.057575
aud001,F,HEAD,EH,1,823.746432,1959.490189,3050.884246,2.452522
aud001,F,HOOD,UH,1,516.242174,891.892022,3050.166358,5.926476
gty001,M,HEAT,IY,1,280.538098,2140.54715,3065.47195,1.181373
gty001,M,HEAD,EH,1,672.722195,1621.964358,2456.282184,1.900947
gty001,M,HOOD,UH,1,649.365434,708.769866,2641.545884,7.149522
fmb001,F,HEAT,IY,1,304.193189,2730.865875,3288.972784,0.69361
fmb001,F,HEAD,EH,1,465.54807,2448.23053,3121.660843,1.597374
fmb001,F,HOOD,UH,1,471.726632,942.488132,2884.369452,10.092845
iwd001,M,HEAT,IY,1,2365.22951,3119.801288,3681.989152,0.688655
iwd001,M,HEAD,EH,1,635.68866,2095.904417,2755.637297,1.897247
iwd001,M,HOOD,UH,1,307.243813,1726.411597,2384.880729,7.120688
jec001,F,HEAT,IY,1,288.898389,2873.403378,3302.365767,0.945877
jec001,F,HEAD,EH,1,814.249533,2023.059077,2989.138859,1.815887
jec001,F,HOOD,UH,1,420.469154,2039.607588,2803.526195,8.652369
jmc002,M,HEAT,IY,1,292.186653,2563.908062,3327.73184,0.524738
jmc002,M,HEAD,EH,1,530.410552,2192.827042,2795.210802,1.524518
jmc002,M,HOOD,UH,1,392.236533,1764.462549,2463.050596,10.894736
joh001,F,HEAT,IY,1,305.662742,2606.299947,3127.91479,1.471575
joh001,F,HEAD,EH,1,606.754595,2339.564817,2870.969332,3.089256
joh001,F,HOOD,UH,1,524.193465,1805.009618,2536.995623,9.04198
ljg001,M,HEAT,IY,1,324.825845,2508.439034,2982.316825,0.824197
ljg001,M,HEAD,EH,1,506.887448,2237.749559,2963.252689,2.57939
ljg001,M,HOOD,UH,1,425.060554,1664.849519,2544.724824,7.35643
kam001,F,HEAT,IY,1,361.191067,2805.664914,3197.418098,0.456002
kam001,F,HEAD,EH,1,559.521241,2436.745638,3002.98718,1.841532
kam001,F,HOOD,UH,1,420.846534,2039.0745,2756.119879,8.242419
rac001,M,HEAT,IY,1,155.105185,2420.387305,3025.554969,1.888016
rac001,M,HEAD,EH,1,534.411664,2109.610205,2916.112097,4.11066
rac001,M,HOOD,UH,1,1569.345614,2549.187617,3349.469301,9.005485
